Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Tanzania;Import;Animal;Import (US$ Thousand);3912,043;2680,261;3560,382;2425,208;1499,691;1535,082;2232,842;696,042;562,764;816,073
United States;Thailand;Import;Animal;Import (US$ Thousand);910104,952;923182,995;960960,482;949654,823;1075475,177;1124643,458;821139,382;564772,639;498634,332;494048,383
United States;Togo;Import;Animal;Import (US$ Thousand);754,065;478,987;318,946;208,004;237,094;369,247;433,848;684,677;353,409;292,149
United States;Tokelau;Import;Animal;Import (US$ Thousand);;10,25;4,334;;29,607;;21,477;;;13,24
United States;Tonga;Import;Animal;Import (US$ Thousand);5390,596;4661,481;3009,161;1505,127;1547,194;1342,301;857,437;839,69;1370,974;2363,282
United States;Trinidad and Tobago;Import;Animal;Import (US$ Thousand);48669,026;38479,17;24099,056;23456,982;31077,059;29590,604;25898,297;26297,748;37264,485;46863,448
United States;Tunisia;Import;Animal;Import (US$ Thousand);2514,32;2774,397;1438,708;1125,327;1575,295;1238,812;542,843;137,249;820,367;530,926
United States;Turkey;Import;Animal;Import (US$ Thousand);4696,96;8645,859;8404,361;12727,252;15867,533;10856,857;16125,468;24184,935;37151,244;52038,778
United States;Turks and Caicos Isl.;Import;Animal;Import (US$ Thousand);7963,988;7432,669;5751,935;4793,128;3939,579;3912,146;2782,053;3066,957;4037,595;3957,703
United States;Uganda;Import;Animal;Import (US$ Thousand);5943,811;2728,798;2278,67;1858,865;1746,463;1995,801;1173,495;1327,033;2635,831;2536,431
United States;Ukraine;Import;Animal;Import (US$ Thousand);9841,384;6492,152;6637,819;6540,258;3640,946;3866,175;7815,794;14300,224;31687,548;45703,902
United States;United Arab Emirates;Import;Animal;Import (US$ Thousand);18720,017;17191,839;6662,222;4452,96;8247,151;3137,923;3230,96;6053,061;2911,777;2205,189
United States;United Kingdom;Import;Animal;Import (US$ Thousand);156923,839;220111,189;209842,986;235376,134;215491,518;256773,312;199348,568;225802,783;324533,027;307514,329
United States;Uruguay;Import;Animal;Import (US$ Thousand);305439,664;332224,09;117879,015;115303,973;96018,635;115064,284;158940,658;180576,692;207261,793;305184,062
United States;Uzbekistan;Import;Animal;Import (US$ Thousand);228,432;50,994;98,821;361,461;168,936;439,812;655,443;462,823;540,07;565,118
United States;Vanuatu;Import;Animal;Import (US$ Thousand);390,854;209,853;209,214;273,485;140,294;800,265;103,968;321,041;5031,433;1375,412
United States;Venezuela;Import;Animal;Import (US$ Thousand);80724,413;75187,53;54411,382;25614,077;25839,787;23091,711;20959,174;26164,032;34202,771;21269,366
United States;Vietnam;Import;Animal;Import (US$ Thousand);524108,518;590777,89;634029,068;600324,273;741424,79;910359,229;909916,129;1031863,605;1313907,096;1062918,93
United States;Yemen;Import;Animal;Import (US$ Thousand);381,81;273,344;282,979;226,246;221,686;;;34,002;;
United States;Zambia;Import;Animal;Import (US$ Thousand);129,263;106,146;149,522;127,204;32,888;68,836;71,077;98,931;99,425;33,516
United States;Zimbabwe;Import;Animal;Import (US$ Thousand);1255,86;103,411;83,68;313,717;7,812;10,7;53,763;121,169;72,672;19,857
